Country_Availability,Year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Argentina,2015.0,18.0,9.0,1.0,1.0,17.0,5.0,6.0,19.0,2.0,8.0,0.0,5.0,3.0,3.0,5.0,0.0,0.0,10.0,5.0,0.0,2.0,12.0,1.0,1.0
Argentina,2016.0,28.0,21.0,12.0,10.0,44.0,18.0,17.0,50.0,16.0,14.0,6.0,5.0,6.0,1.0,11.0,1.0,0.0,15.0,8.0,3.0,4.0,26.0,5.0,0.0
Argentina,2017.0,37.0,21.0,9.0,8.0,85.0,35.0,22.0,91.0,13.0,15.0,7.0,11.0,5.0,1.0,14.0,0.0,0.0,41.0,11.0,3.0,5.0,41.0,3.0,1.0
Argentina,2018.0,58.0,28.0,9.0,21.0,114.0,37.0,27.0,140.0,16.0,30.0,12.0,19.0,7.0,9.0,19.0,0.0,1.0,53.0,14.0,5.0,10.0,59.0,8.0,3.0
Argentina,2019.0,38.0,16.0,13.0,12.0,87.0,23.0,27.0,82.0,19.0,17.0,3.0,19.0,8.0,2.0,13.0,0.0,0.0,33.0,10.0,7.0,4.0,32.0,1.0,1.0
Argentina,2020.0,32.0,24.0,25.0,9.0,105.0,30.0,27.0,124.0,29.0,12.0,3.0,11.0,9.0,1.0,16.0,0.0,1.0,50.0,11.0,9.0,11.0,43.0,2.0,1.0
Argentina,2021.0,8.0,5.0,1.0,1.0,9.0,5.0,6.0,17.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,0.0,1.0
Australia,2015.0,15.0,7.0,2.0,2.0,18.0,8.0,4.0,21.0,3.0,6.0,1.0,2.0,3.0,3.0,4.0,0.0,0.0,10.0,4.0,0.0,2.0,12.0,0.0,1.0
Australia,2016.0,18.0,16.0,14.0,9.0,48.0,17.0,16.0,48.0,16.0,12.0,6.0,4.0,9.0,2.0,8.0,1.0,0.0,16.0,3.0,3.0,3.0,25.0,5.0,1.0
Australia,2017.0,42.0,25.0,8.0,8.0,80.0,34.0,28.0,105.0,17.0,17.0,8.0,6.0,3.0,4.0,14.0,0.0,0.0,41.0,10.0,4.0,4.0,38.0,6.0,1.0
Australia,2018.0,68.0,23.0,6.0,20.0,135.0,45.0,29.0,172.0,15.0,20.0,12.0,28.0,8.0,9.0,21.0,0.0,0.0,63.0,16.0,4.0,10.0,76.0,6.0,1.0
Australia,2019.0,44.0,20.0,14.0,14.0,87.0,25.0,28.0,113.0,25.0,19.0,6.0,20.0,6.0,0.0,15.0,0.0,0.0,39.0,12.0,7.0,3.0,42.0,7.0,2.0
Australia,2020.0,36.0,30.0,37.0,8.0,112.0,34.0,29.0,131.0,41.0,22.0,3.0,17.0,8.0,5.0,22.0,0.0,1.0,54.0,12.0,12.0,14.0,50.0,3.0,1.0
Australia,2021.0,10.0,8.0,4.0,1.0,13.0,4.0,4.0,18.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,4.0,0.0,2.0
Belgium,2015.0,24.0,12.0,2.0,1.0,22.0,6.0,6.0,18.0,4.0,9.0,1.0,3.0,1.0,2.0,6.0,0.0,0.0,17.0,8.0,0.0,1.0,21.0,3.0,3.0
Belgium,2016.0,29.0,23.0,10.0,14.0,49.0,26.0,14.0,58.0,16.0,11.0,8.0,10.0,6.0,2.0,14.0,1.0,0.0,20.0,10.0,2.0,4.0,39.0,6.0,3.0
